,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,28.3,42.3,-14.0,-0.50,+0.21,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,34.6,62.1,-27.5,-0.76,+0.23,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,46.2,27.5,+18.8,+0.76,-0.12,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,20.0,17.7,+2.3,+0.19,+0.15,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.9,10.5,+8.4,+0.86,+0.06,Matches
5,6,Daniel Adshead,eng ENG,MF,Norwich City,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
6,7,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,44,18,+26,+1.61,-0.26,39.5,16.2,+23.2,+1.44,-0.05,Matches
7,8,Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,139,15,4.1,1.5,0,,0,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.7,1.4,+1.2,+0.80,+1.25,Matches
8,9,Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,46,-16,-0.58,+0.31,32.7,44.9,-12.2,-0.44,+0.08,Matches
9,10,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,15.3,12.0,+3.2,+0.34,-0.14,Matches
10,11,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,2957,90,86.5,32.9,33,90,32,0,,5,1.64,53,39,+14,+0.43,+0.43,40.7,45.3,-4.7,-0.14,+0.18,Matches
11,12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,32,+48,+1.36,-0.11,65.7,36.7,+29.0,+0.82,+0.04,Matches
12,13,Alisson,br BRA,GK,Liverpool,26,1992,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,50.0,27.3,+22.7,+0.80,-0.06,Matches
13,14,Thomas Allan,eng ENG,MF,Newcastle Utd,19,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
14,15,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,25,1847,74,54.0,20.5,21,84,12,4,19,3,1.40,32,25,+7,+0.34,-0.06,29.5,31.2,-1.7,-0.08,+0.18,Matches
15,16,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,36,3021,84,88.3,33.6,35,85,21,1,58,1,1.22,35,48,-13,-0.39,+1.19,31.7,57.5,-25.8,-0.77,+0.19,Matches
16,17,Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,1430,79,41.8,15.9,15,87,12,3,41,9,2.22,39,18,+21,+1.32,+1.59,31.8,15.7,+16.1,+1.01,+0.36,Matches
17,18,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,+1,+0.08,+0.72,18.6,18.6,+0.1,0.00,+0.39,Matches
18,19,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11,759,69,22.2,8.4,8,84,7,3,28,9,0.73,8,20,-12,-1.42,-0.17,9.1,18.5,-9.5,-1.12,-0.45,Matches
19,20,Joseph Anang,eng ENG,GK,West Ham,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
20,21,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,25,1497,60,43.8,16.6,20,73,6,5,9,4,0.88,21,27,-6,-0.36,-0.03,19.8,27.8,-8.0,-0.48,-0.14,Matches
21,22,Florin Andone,ro ROU,FW,Brighton,26,1993,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.3,0.7,+0.6,+0.72,+0.99,Matches
22,23,Angeliño,es ESP,DF,Manchester City,22,1997,6,423,71,12.4,4.7,4,90,4,2,32,9,2.00,11,7,+4,+0.85,-1.04,11.4,4.9,+6.5,+1.38,-0.09,Matches
23,24,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,20,20,0.6,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-0.40,0.1,0.1,0.0,+0.08,-0.73,Matches
24,25,Michail Antonio,jm JAM,"FW,MF",West Ham,29,1990,24,1768,74,51.7,19.6,19,82,12,5,41,0,1.08,31,30,+1,+0.05,+0.81,27.5,29.9,-2.4,-0.12,+0.58,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,26,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,30,1715,57,50.1,19.1,19,82,7,11,15,2,1.50,32,25,+7,+0.37,+1.21,27.8,28.0,-0.2,-0.01,-0.20,Matches
27,27,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,2970,90,86.8,33.0,33,90,33,0,,5,1.76,61,47,+14,+0.42,+0.22,62.6,34.8,+27.8,+0.84,+0.28,Matches
28,28,Bernard Ashley-Seal,eng ENG,FW,Wolves,20,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
29,29,Christian Atsu,gh GHA,MF,Newcastle Utd,27,1992,19,749,39,21.9,8.3,6,82,3,13,20,9,1.11,4,15,-11,-1.32,-1.02,4.6,15.4,-10.8,-1.29,-0.64,Matches
30,30,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,30,1989,36,3136,87,91.7,34.8,35,89,31,1,33,0,1.50,51,44,+7,+0.20,-0.12,43.4,49.9,-6.5,-0.19,+0.38,Matches
31,31,Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,2700,82,78.9,30.0,31,86,23,2,13,2,1.64,51,32,+19,+0.63,+1.26,38.6,39.4,-0.8,-0.03,+0.66,Matches
32,32,Brandon Austin,eng ENG,GK,Tottenham,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
33,33,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,37,3148,85,92.0,35.0,37,85,23,0,,1,1.16,28,45,-17,-0.49,+0.18,32.5,51.1,-18.5,-0.53,+0.34,Matches
34,34,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,3229,90,94.4,35.9,36,90,35,0,,2,1.75,67,53,+14,+0.39,-0.08,63.1,37.3,+25.8,+0.72,-1.55,Matches
35,35,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,150,38,4.4,1.7,1,90,1,3,20,10,2.50,5,1,+4,+2.40,+1.68,2.0,2.2,-0.2,-0.14,-0.82,Matches
36,36,Leighton Baines,eng ENG,DF,Everton,34,1984,8,404,51,11.8,4.5,4,76,2,4,25,19,1.38,7,8,-1,-0.22,+0.11,8.5,6.3,+2.2,+0.49,+0.48,Matches
37,37,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,1177,69,34.4,13.1,13,90,13,4,2,21,1.18,12,24,-12,-0.92,-0.88,14.9,23.5,-8.6,-0.66,-0.39,Matches
38,38,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,1.42,39,39,0,0.00,,43.0,51.0,-7.9,-0.21,,Matches
39,39,Leon Balogun,ng NGA,DF,Brighton,31,1988,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
40,40,Tudor Băluță,ro ROU,"DF,MF",Brighton,20,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
41,41,Beni Baningime,cd COD,MF,Everton,20,1998,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
42,42,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,1890,90,55.3,21.0,21,90,21,0,,10,1.67,26,19,+7,+0.33,+1.16,28.5,25.6,+2.9,+0.14,+0.45,Matches
43,43,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,1103,53,32.3,12.3,13,72,4,8,21,7,2.05,27,14,+13,+1.06,+0.98,26.8,11.0,+15.8,+1.29,+0.71,Matches
44,44,Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,1352,71,39.5,15.0,17,77,5,2,25,0,1.26,19,21,-2,-0.13,+0.08,18.2,15.4,+2.8,+0.19,+0.41,Matches
45,45,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,36,2083,58,60.9,23.1,24,74,4,12,26,2,1.61,38,24,+14,+0.60,-0.20,38.1,27.9,+10.2,+0.44,0.00,Matches
46,46,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,3242,85,94.8,36.0,38,85,25,0,,0,1.42,33,37,-4,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29,Matches
47,47,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,2,18,9,0.5,0.2,0,,0,2,9,3,0.00,0,2,-2,-10.00,-9.37,0.0,1.3,-1.3,-6.33,-5.74,Matches
48,48,Lewis Bate,eng ENG,MF,Chelsea,16,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
49,49,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,239,15,7.0,2.7,1,67,0,15,11,12,1.50,5,8,-3,-1.13,-1.64,5.8,3.4,+2.4,+0.89,+0.10,Matches
50,50,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,3057,90,89.4,34.0,34,90,33,0,,2,1.26,43,57,-14,-0.41,-1.65,50.1,48.9,+1.2,+0.04,-0.48,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
